Episode_ID,Seed,現在のターン,Lv0_狙い(宣言),Lv0_近い方を狙ったか,Lv1_狙い(宣言),Lv1_近い方を狙ったか,Lv1_協調判定(被り回避),Lv1_意図推定,Lv1_推定理由,Lv1_決定行動,Lv1_行動理由,Lv0_決定行動,Lv0_行動理由,Lv1_X,Lv1_Y,Lv0_X,Lv0_Y,PreyA_X,PreyA_Y,PreyB_X,PreyB_Y,Lv0-A(Manhattan),Lv0-A(Torus),Lv0-B(Manhattan),Lv0-B(Torus),Lv1-A(Manhattan),Lv1-A(Torus),Lv1-B(Manhattan),Lv1-B(Torus),再計算_Lv0-A距離(マンハッタン),再計算_Lv0-B距離(マンハッタン),再計算_Lv0-A距離(ユークリッド),再計算_Lv0-B距離(ユークリッド),抽出_Lv1予想ターゲット,抽出_Lv0宣言ターゲット,判定_意図推定一致,判定_距離合理性(マンハッタン),判定_距離合理性(ユークリッド)
1,968602,11,獲物A,⚪︎,獲物A,✖️,✖️,獲物Aを狙っている,"他者は現在(10,3)におり、右に進むと(10,4)に到達し、次のターンで獲物A(11,4)を捕獲できる位置になるため",右,獲物Aが他者の近くにおり、他者が次のターンに捕獲可能であるため、自己も右に移動することで捕獲をサポートできる可能性があるから,右,獲物Aが現在の自己位置から右に1マスの位置にいるため、次のターンで捕獲するために最も効率的な行動は右に移動することです。,7,13,10,3,11,4,10,9,2,2,6,6,13,13,7,7,2,6,1.41,6.0,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,12,獲物A,⚪︎,獲物A,✖️,✖️,獲物Aを狙っている,"他者の座標(11, 3)から獲物Aの座標(12, 4)への距離が近く、次の行動として獲物Aに接近する行動が考えられる",右,獲物Aに近づくため、次のターンで捕獲のチャンスを増やすため,右,獲物Aは現在の自己座標から右に1マス移動することで捕獲可能で、獲物Bにはまだ距離があるため、まずは獲物Aを捕獲することが優先です。,8,13,11,3,12,4,11,9,2,2,6,6,13,13,7,7,2,6,1.41,6.0,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,13,獲物A,⚪︎,獲物B,⚪︎,⚪︎,獲物Aを狙っている,"他者は現在(12, 3)におり、獲物Aは(12, 4)に位置する。次の行動で獲物Aに接触可能なため、狙っていると推測される",左,"獲物Bは(11, 9)に位置しており、自己の現在位置(9, 13)から左に移動すると(8, 13)に移動し、次ターンで獲物Bに接触する可能性が高くなるため。獲物Aには他者が近いので、獲物Bを狙う方が効率的だと判断した。",上,獲物Aは上に1マス移動することで、次ターンで捕獲する可能性が高いため、直接移動して捕獲を狙います。,9,13,12,3,12,4,11,9,1,1,7,7,12,12,6,6,1,7,1.0,6.08,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,14,獲物A,⚪︎,獲物B,⚪︎,⚪︎,獲物Aを狙っている,"他者の座標（12, 2）から獲物Aの座標（12, 4）へ上に移動することで、獲物Aに近づくため。",上,"獲物B（12, 9）は自己座標から上に移動することで近づけるため、獲物Bを狙います。",上,獲物Aは自己の真上に位置しているため、最短距離で捕獲できるから,8,13,12,2,12,4,12,9,2,2,7,7,13,13,8,8,2,7,2.0,7.0,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,15,獲物A,⚪︎,獲物A,✖️,⚪︎,獲物Bを狙っている,他者の座標が獲物Bの横にあり、獲物Bへの移動が可能なため,右,獲物Aが自己の右側に位置しており、次のターンでの捕獲に向けて近づくため,下,獲物Aへ近づくため、垂直方向に移動することで次ターンに捕まえる可能性を高めるため。,8,12,12,1,13,4,12,8,4,4,7,7,13,13,8,8,4,7,3.16,7.0,獲物B,獲物A,✖️,⚪︎,⚪︎
1,968602,16,獲物A,⚪︎,獲物A,✖️,⚪︎,獲物Bを狙っている,"他者の位置（12, 2）から獲物Bの位置（12, 8）への移動が可能であり、獲物Bが上方向にいるため",右,"獲物Aが現在座標(13, 4)にいるため、右に移動することで次ターンに獲物Aに近づくことができ、効率的に捕獲を狙える。",右,"獲物Aは現在座標(13, 4)にいるため、自己座標(12, 2)から右に移動することで獲物Aとの距離を縮め、次ターンに捕獲できる可能性を高めるため。",9,12,12,2,13,4,12,8,3,3,6,6,12,12,7,7,3,6,2.24,6.0,獲物B,獲物A,✖️,⚪︎,⚪︎
1,968602,17,獲物B,✖️,獲物A,✖️,⚪︎,獲物Bを狙っている,"他者の座標(13, 2)と獲物Bの座標(13, 8)を比較すると、獲物Bが上方向にあり、他者は獲物Bに接近しやすい位置にいるため、獲物Bを狙っていると推測した。",右,獲物Aが右方向に位置しており、自己の現在位置から最も近い獲物であるため、捕獲に向かう。,下,自己の位置から獲物Bへ向かうため、獲物Bの座標に近づくことができるため。,10,12,13,2,14,4,13,8,3,3,6,6,12,12,7,7,3,6,2.24,6.0,獲物B,獲物B,⚪︎,✖️,✖️
1,968602,18,獲物A,⚪︎,獲物A,✖️,⚪︎,獲物Bを狙っている,他者の座標が獲物Bの座標に対して縦に近い位置にあり、かつ獲物Aよりも獲物Bに近いため、獲物Bを捕獲しに行こうとしていると推測される,右,獲物Aが右に位置しているため、次のターンでの捕獲が可能になる最短の行動であるから,右,"獲物Aは現在(15, 4)に位置しており、右に移動することで獲物Aに近づくことができるため。",11,12,13,3,15,4,13,8,3,3,5,5,12,12,6,6,3,5,2.24,5.0,獲物B,獲物A,✖️,⚪︎,⚪︎
1,968602,19,獲物A,⚪︎,獲物B,⚪︎,⚪︎,獲物Aを狙っている,"他者の座標(14, 3)から獲物A（16, 4）への移動が直接的であるため、獲物Aを意識していると推測した。",上,"獲物Bの座標(13, 8)に近づくため。獲物Aに対する他者の意図を考慮しつつ、自分自身は獲物Bを狙って効率的に捕獲を目指す必要があるため。",右,獲物Aが右上に位置しており、次回ターンでの捕獲に近づくために右に移動するのが最も効果的だから,12,12,14,3,16,4,13,8,3,3,6,6,12,12,5,5,3,6,2.24,5.1,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,20,獲物A,⚪︎,獲物B,⚪︎,⚪︎,獲物Aを狙っている,"他者の座標(15, 3)から左に1マス移動することで獲物A(16, 3)にアクセスできるため、獲物Aを狙っていると推定した",上,"獲物Bの位置(14, 8)に近づくため、上に移動することで次ターンに獲物Bにアクセスできる可能性があるため。",右,獲物Aは現在右隣に位置しており、次の動作で直接捕獲可能だから。,12,11,15,3,16,3,14,8,1,1,6,6,12,12,5,5,1,6,1.0,5.1,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,21,獲物B,✖️,獲物B,⚪︎,✖️,獲物Bを狙っている,他者の座標が獲物Aの位置と一致しているため、獲物Aは捕獲中であり、他者は獲物Bを狙っていると推測した。,右,獲物Bは未捕獲状態であり、次ターンで獲物Bに近づくことで捕獲のチャンスを高めるため。,右,獲物Bが未捕獲のため、同じ列で近づいて捕獲を目指す必要がある。右に移動することで獲物Bに接近し、次のターンで捕獲を試みるため。,12,10,16,3,16,3,15,8,0,0,6,6,11,11,5,5,0,6,0.0,5.1,獲物B,獲物B,⚪︎,✖️,✖️
1,968602,22,獲物A,⚪︎,獲物B,⚪︎,⚪︎,獲物Aを狙っている,他者が現在獲物Aの位置にいるため、捕獲を試みる可能性が高い,左,"獲物Bが現在16,8にいるため、左の方向に移動することで次ターンで獲物Bを狙える位置に近づくことができるため",その場に留まる,獲物Aは現在自己の位置と一致しており、次のターンで確実に捕獲できるため,13,10,17,3,17,3,16,8,0,0,6,6,11,11,5,5,0,6,0.0,5.1,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,23,獲物B,✖️,獲物B,⚪︎,✖️,獲物Bを狙っている,他者の現在位置が獲物Aの位置と一致しており、獲物Aは既に捕獲中であるため、次の行動は未捕獲の獲物Bに向かう必要があるため。,下,獲物Bが未捕獲であるため、獲物Bを狙って捕獲する必要がある。自己の位置から獲物Bに向かうためには下に移動するのが最適な行動である。,上,獲物Bは未捕獲であり、自己の位置から一歩上に移動することで獲物Bに近づくことができ、次ターンで捕獲可能となるため,12,10,17,3,17,3,17,8,0,0,5,5,12,12,7,7,0,5,0.0,5.0,獲物B,獲物B,⚪︎,✖️,✖️
1,968602,24,獲物A,⚪︎,獲物B,⚪︎,⚪︎,獲物Aを狙っている,"他者の位置（17, 2）が獲物Aの位置（17, 2）と同じであり、捕獲の可能性が高いことから獲物Aを狙っていると推定した",右,"獲物Bの位置（18, 8）に接近するため、右に移動することで次ターンに捕獲の可能性を高めることができるから。",その場に留まる,獲物Aが現在私と同じ座標にいるため、次のターンで捕獲することが可能です。,12,11,17,2,17,2,18,8,0,0,7,7,14,14,9,9,0,7,0.0,6.08,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,25,獲物B,✖️,獲物B,⚪︎,⚪︎,獲物A捕獲中のためその場に留まる,他者は獲物Aのいる位置にいるため、獲物Aを捕獲中で次の行動はその場に留まると推測される。,右,獲物Bが未捕獲であり、次ターンでの捕獲を目指すため、その座標に近づく必要があるから。,右,獲物Bは未捕獲であり、次のターンで近づいて捕獲できる位置に移動する必要があります。,13,11,17,2,17,2,19,8,0,0,8,8,13,13,9,9,0,8,0.0,6.32,獲物A,獲物B,✖️,✖️,✖️
1,968602,26,獲物A,⚪︎,獲物A,✖️,✖️,獲物Aを狙っている,"他者は現在（18, 2）にいて、獲物Aは（17, 1）にいるため、左に動くことで獲物Aに近づくことができる。",左,"獲物Aの位置（17, 1）に近づくため、左に移動して接近し捕獲のチャンスを高める。",上,"獲物Aの座標(17,1)に近づくために、上（(18,2)から(18,1)）へ移動し、次ターンで獲物Aを捕獲できる可能性を高めるため。",14,11,18,2,17,1,0,8,2,2,24,8,13,13,17,9,2,8,1.41,6.32,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,27,獲物A,⚪︎,獲物A,✖️,✖️,獲物Aを狙っている,"他者の座標が(18, 1)で獲物Aが(17, 1)に位置しているため、次の行動で左に移動することで獲物Aに近づける",左,"獲物Aが(17, 1)にいるため、左に移動することで獲物Aに近づき、他者と協力して捕獲できる可能性が高まる。",上,獲物Aが同じ列にいるため、上に移動することで次ターンに捕獲可能になる。,13,11,18,1,17,1,0,8,1,1,25,9,14,14,16,10,1,9,1.0,7.28,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,28,獲物A,⚪︎,獲物A,✖️,✖️,獲物Aを狙っている,"他者は現在18,0の位置におり、獲物Aは17,1にいるため、左に移動することで獲物Aに接近できる",上,獲物Aに近づくため、次のターンで獲物Aを捕獲できる位置に移動するため,上,"獲物Aは隣接する座標にいるため、捕獲のチャンスが高い。次のターンで私の座標が(17, 0)になれば捕獲できる。",12,11,18,0,17,1,1,8,2,2,25,11,15,15,14,12,2,11,1.41,8.54,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,29,獲物A,⚪︎,獲物A,✖️,△,不明,他者の位置が獲物から離れているため、どちらの獲物を狙っているかは判断できない。,右,獲物Aの座標に対して直線で近づくことができるため、捕獲の可能性が高まります。,上,"獲物Aが現在17, 1にいるため、上に移動することで次ターンに獲物Aを捕獲しやすくなる。",12,10,18,19,17,1,1,8,19,3,28,12,14,14,13,11,3,12,2.24,9.49,,獲物A,-,⚪︎,⚪︎
1,968602,30,獲物A,⚪︎,獲物A,✖️,✖️,獲物Aを狙っている,"他者の位置(18, 18)から獲物A(17, 0)までの距離が大きいため、次の行動で獲物Aの位置に近づくことが可能である",上,獲物Aは未捕獲の状態であり、上に移動することで獲物Aの捕獲により近づくことができ、他者が獲物Aを狙っているため、連携を図ることができると考えたため。,上,獲物Aは最も近い位置にあり、上に移動することで次ターンに捕獲可能な距離に近づくため,13,10,18,18,17,0,1,8,19,3,27,13,14,14,14,10,3,13,2.24,10.44,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,31,獲物A,⚪︎,獲物B,⚪︎,⚪︎,獲物Aを狙っている,"他者の座標(18, 17)から獲物Aの座標(18, 0)までの間に障害物がなく、獲物Aを目指すために上方向に移動する可能性が高い。",左,"自己は獲物Bに近づく必要があり、左に移動することで獲物Bの位置(1, 8)に近づくことができるから。",上,"獲物Aは現在座標(18, 0)におり、自己の座標(18, 17)から上に移動することで次のターンに獲物Aを捕獲できる可能性が高い。",13,9,18,17,18,0,1,8,17,3,26,12,14,14,13,9,3,12,3.0,9.49,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,32,獲物A,⚪︎,獲物B,⚪︎,⚪︎,獲物Aを狙っている,"他者は現在座標(18, 16)から獲物A(19, 0)まで移動するためのルートを考えたとき、獲物Aの方に向かう可能性が高い状況にある",左,"獲物B(2, 8)が私の位置から左に移動することで、次ターンで近づきやすくなるため、獲物Bを狙うことがより効率的であると判断した。",上,"獲物Aが現在19,0の位置におり、上に移動することで次のターンで獲物Aに近づき、捕獲のチャンスを高めるため。",12,9,18,16,19,0,2,8,17,5,24,12,16,16,11,11,5,12,4.12,8.94,獲物A,獲物A,⚪︎,⚪︎,⚪︎
1,968602,33,獲物B,✖️,獲物B,⚪︎,✖️,獲物Bを狙っている,"他者の現在位置(18, 15)から獲物B(2, 7)までの距離は獲物A(0, 0)よりも近いため、獲物Bを狙っていると考えられる。",左,獲物Bに近づくことで捕獲の可能性を高めるため。他者が獲物Bを狙っているため、共に捕獲を目指す方が効率的である。,左,獲物Bに近づくことで捕獲の可能性を高めるため、位置を近づける必要がある。,11,9,18,15,0,0,2,7,33,7,24,12,20,18,11,11,7,12,5.39,8.94,獲物B,獲物B,⚪︎,✖️,✖️
1,968602,34,獲物B,✖️,獲物B,⚪︎,△,不明,"他者の位置は(17, 15)で、獲物A(1, 0)と獲物B(3, 7)はそれぞれ遠く離れているため、次の行動がどちらの獲物に向かうか判断できない。",左,"獲物Bは(3, 7)に位置しており、自己の現在位置(10, 9)から左に移動することで次ターンに近づき、捕獲のチャンスを高めることができるため。",左,"獲物Bは3,7に位置しており、左に移動することで、次ターンにより近づく可能性があるため。",10,9,17,15,1,0,3,7,31,9,22,14,18,18,9,9,9,14,6.4,10.0,,獲物B,-,✖️,✖️
1,968602,35,獲物B,✖️,獲物B,⚪︎,✖️,獲物Bを狙っている,"他者の現在座標(16, 15)から獲物B(4, 7)への距離が短く、獲物A(1, 0)よりも接近しやすい位置にいるため、獲物Bを狙っていると推定した。",下,獲物Bは現在の自己座標から移動することで接近できる位置にあり、他者も獲物Bを狙っていることから、連携を図りやすい。,左,"獲物Bは現在(4, 7)におり、自己の位置(16, 15)から左に移動することで、獲物Bに近づけるから。",9,9,16,15,1,0,4,7,30,10,20,16,17,17,7,7,10,16,7.07,11.31,獲物B,獲物B,⚪︎,✖️,✖️
1,968602,36,獲物B,✖️,獲物B,⚪︎,△,不明,他者は獲物Aから遠く、獲物Bにも一定の距離があるため、どの獲物を狙っているかは不明,左,獲物Bに接近するためには左に移動するのが最も効率的であり、次のターンで捕獲できる可能性を高めるため,左,獲物Bは自己から近く、獲物Aは非常に遠いため、獲物Bを優先的に狙うことで効率的に捕獲する可能性が高い。,9,10,15,15,1,0,5,7,29,11,18,18,18,18,7,7,11,18,7.81,12.81,,獲物B,-,✖️,✖️
1,968602,37,獲物B,✖️,獲物B,⚪︎,△,不明,他者の位置と獲物の位置からは、明確な狙いを特定できないため,左,"獲物Bが現在6,7にいるため、自己の位置8,10から左に移動することで獲物Bの捕獲に近づくことができる。",左,"獲物Bの位置に近づくため、自己の位置を(13, 15)とし、次のターンに捕獲しやすくするために左に動くことが最適です。",8,10,14,15,1,0,6,7,28,12,16,16,17,17,5,5,12,16,8.6,11.31,,獲物B,-,✖️,✖️
1,968602,38,獲物B,✖️,獲物B,⚪︎,✖️,獲物Bを狙っている,"他者の位置(13,15)から獲物Bの位置(6,7)までの距離が短く、獲物Bに向かう動きが可能であるため",左,獲物Bの位置が近いため、次ターンで捕獲する可能性が高い。今の位置から左に移動することで、獲物Bとの距離を縮められる。,左,獲物Bが自己に近い位置にあり、次のターンで捕獲の可能性を高めるため。,7,10,13,15,1,0,6,7,27,13,15,15,16,16,4,4,13,15,9.43,10.63,獲物B,獲物B,⚪︎,✖️,✖️
1,968602,39,獲物B,△,獲物B,⚪︎,✖️,獲物Bを狙っている,"他者の現在座標が(12, 15)であり、獲物Bの座標(6, 7)に対して近づく方向として上を選択する可能性が高い",下,"獲物Bの座標(6, 7)に一歩でも近づくため、下に移動することで捕獲に近づくことができる。",左,獲物Bが自己から近い位置にあり、6の横にいるため、移動することで捕獲のチャンスが増えるため,6,10,12,15,1,0,6,7,26,14,14,14,15,15,3,3,14,14,10.3,10.0,獲物B,獲物B,⚪︎,△,⚪︎
1,968602,40,獲物B,⚪︎,獲物B,⚪︎,✖️,獲物Bを狙っている,"他者の座標は(11, 15)で獲物Bの座標(6, 7)に対して上方向に移動しやすく、獲物Bに接近することが可能であるため。",下,"獲物Bの現在位置(6, 7)に近づくため、下に移動することで次ターンでの捕獲を狙います。",左,獲物Bは現在隣接する位置にいるため、左に移動することで捕獲できる可能性が高い。,6,11,11,15,1,0,6,7,25,15,13,13,16,14,4,4,15,13,11.18,9.43,獲物B,獲物B,⚪︎,⚪︎,⚪︎
1,968602,41,獲物B,⚪︎,獲物B,⚪︎,✖️,獲物Bを狙っている,"他者は現在(10, 15)におり、獲物B(7, 7)まで直線距離が短く、獲物Aは遠いため、Bを狙う可能性が高い",右,"獲物B(7, 7)への距離が近く、他者も獲物Bを狙っているため、共に協力して捕獲を目指すことができる。",左,"獲物Bは現在7,7にいるため、左に移動することで、自己の位置からの距離を縮め、次ターンで捕獲の可能性を高めるため。",6,12,10,15,1,0,7,7,24,14,11,11,17,13,6,6,14,11,10.3,8.54,獲物B,獲物B,⚪︎,⚪︎,⚪︎
1,968602,42,獲物B,⚪︎,獲物B,⚪︎,✖️,獲物Bを狙っている,"他者の位置(9, 15)から獲物Bの位置(7, 6)までの距離が最短であり、獲物Bに接近するための行動が見込まれるため。",下,"獲物Bの座標(7, 6)に向かって移動することで、次のターンでの捕獲の可能性が高まるため。",左,獲物Bに近づくため、左に移動してターゲットの捕獲を目指す。,7,12,9,15,1,19,7,6,12,12,11,11,13,13,6,6,12,11,8.94,9.22,獲物B,獲物B,⚪︎,⚪︎,✖️
1,968602,43,獲物B,△,獲物B,⚪︎,✖️,獲物Bを狙っている,"他者の座標(8, 15)から獲物Bの座標(7, 6)までの距離が近く、上方向に移動することで獲物Bにさらに接近するため",下,獲物Bは自己の現在座標のすぐ近くにいるため、下に移動することで獲物Bに接近して捕獲のチャンスを増やすことができるため,上,獲物Bの座標に近づくため、次のターンで捕獲できる可能性が高まるため。,7,13,8,15,2,19,7,6,10,10,10,10,11,11,7,7,10,10,7.21,9.06,獲物B,獲物B,⚪︎,△,✖️
1,968602,44,獲物B,⚪︎,獲物B,⚪︎,✖️,獲物Bを狙っている,自己の位置が獲物Bの真上にあり、他者は獲物Bの横にいるため、他者は獲物Bを狙っていると推測した。,下,獲物Bが現在直下にいるため、次の行動で移動することにより獲物Bを捕獲する位置に近づける。,左,獲物Bは現在自己のすぐ近くにおり、左に移動することで獲物Bに近づき、次のターンで捕獲する可能性が高まるため。,7,14,8,14,3,19,7,6,10,10,9,9,9,9,8,8,10,9,7.07,8.06,獲物B,獲物B,⚪︎,⚪︎,✖️
1,968602,45,獲物B,△,獲物A,⚪︎,⚪︎,獲物Bを狙っている,"他者の座標が獲物Bの座標（7,6）の1つ上（7,14）にあり、獲物Bに向かって移動することで捕獲を狙っていると考えられる",上,"獲物Aは現在(3, 18)に位置し、自己の位置からは上に移動することで獲物Aに近づくことができるため、次ターンでの捕獲のチャンスを広げるために上に移動する選択をした。",下,獲物Bの座標に近づくため、次ターンで捕獲の可能性を高めるためです。,7,15,7,14,3,18,7,6,8,8,8,8,7,7,9,9,8,8,5.66,8.0,獲物B,獲物B,⚪︎,△,✖️
1,968602,46,獲物B,✖️,獲物B,✖️,✖️,獲物Bを狙っている,他者の現在位置が獲物Bの直上にあるため、移動することで獲物Bを捕獲することを目指していると推測される。,上,他者が獲物Bを狙っているため、同時に獲物Bの捕獲を目指すことで、協力して捕獲する可能性が高まります。また、獲物Bの位置に近づくことで、次のターンで独占的に捕獲することも可能です。,下,"獲物Bの座標（7, 6）に向かうため、次のターンで獲物Bを捕獲しやすくなるため",7,14,7,15,4,18,7,6,6,6,9,9,7,7,8,8,6,9,4.24,9.0,獲物B,獲物B,⚪︎,✖️,✖️
1,968602,47,獲物B,✖️,獲物A,✖️,⚪︎,獲物Bを狙っている,"他者は現在(7, 16)に位置しており、獲物B(7, 6)に向かう場合、下に移動することが合理的である。",上,"獲物Aの位置が(4, 18)であり、上に移動することで次ターンに獲物Aに近づけるため。",下,獲物Bの位置が現在の自己座標の縦一列にあり、次ターンで獲物Bに近づくことで捕獲のチャンスを高められるため。,7,13,7,16,4,18,7,6,5,5,10,10,8,8,7,7,5,10,3.61,10.0,獲物B,獲物B,⚪︎,✖️,✖️
